Date,Ticker,Adj Close
2024-04-15,DLR,138.55999755859375
2024-04-15,DFS,121.30999755859375
2024-04-15,DG,144.69000244140625
2024-04-15,DLTR,125.36000061035156
2024-04-15,D,47.91999816894531
2024-04-15,DPZ,488.0199890136719
2024-04-15,DOV,170.6699981689453
2024-04-15,DOW,57.31999969482422
2024-04-15,DHI,149.07000732421875
2024-04-15,DTE,105.5199966430664
2024-04-15,DUK,94.12999725341797
2024-04-15,DD,73.44000244140625
2024-04-15,EMN,97.31999969482422
2024-04-15,EBAY,50.88999938964844
2024-04-15,ECL,219.0399932861328
2024-04-15,EIX,67.87999725341797
2024-04-15,EW,89.19999694824219
2024-04-15,EA,127.05000305175781
2024-04-15,ELV,500.0899963378906
2024-04-15,LLY,750.77001953125
2024-04-15,EMR,111.76000213623047
